id,type,author,settings,regular,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags,grade,stage,status,is,os,prod,competitions,themes,team
3n57o2N,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(ts_sum(inst_pnl(anl14_outperform),30))-group_rank(ts_sum(rank(oth455_partner_n2v_p10_q50_w2_kmeans_cluster_5),200),sector)', 'description': None, 'operatorCount': 8}",2023-05-23T21:17:00-04:00,,2023-05-24T01:17:01-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 4900946, 'bookSize': 20000000, 'longCount': 1333, 'shortCount': 1348, 'turnover': 0.1836, 'returns': 0.0498, 'drawdown': 0.0706, 'margin': 0.000543, 'fitness': 0.77, 'sharpe': 1.47, 'checks': [{'name': 'LOW_SHARPE', 'result': 'FAIL', 'limit': 1.58, 'value': 1.47}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.77}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.1836}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.1836}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.64, 'value': 1.11}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
WW0pl8o,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 5, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(ts_delay(oth455_competitor_n2v_p10_q50_w5_pca_fact2_value/ts_max(vec_avg(inst4_inst13fincr_adj_holding),126),180))-group_rank(ts_rank(scale(mdl165_dl8ibesnuggetschiwumodel1_51v)/log(mdl165_dl8ibesnuggetschiwumodel1_44v),100),industry)', 'description': None, 'operatorCount': 12}",2023-05-23T21:17:20-04:00,,2023-05-24T01:17:20-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 1483237, 'bookSize': 20000000, 'longCount': 1104, 'shortCount': 1090, 'turnover': 0.3847, 'returns': 0.0736, 'drawdown': 0.0205, 'margin': 0.000383, 'fitness': 1.01, 'sharpe': 2.3, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.3}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.01}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.3847}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.3847}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 1.0, 'value': 1.9}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
O5VpWmq,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(log(mdl77_pricemomemtummodel_indrelrtn5d_))-rank(ts_max(mdl58_securityname,240)/mdl23_bk_pric_volatil_ann)', 'description': None, 'operatorCount': 7}",2023-05-23T21:17:28-04:00,,2023-05-24T01:17:28-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 5147427, 'bookSize': 20000000, 'longCount': 989, 'shortCount': 1003, 'turnover': 0.4279, 'returns': 0.0881, 'drawdown': 0.0583, 'margin': 0.000412, 'fitness': 0.74, 'sharpe': 1.64, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.64}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.74}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.4279}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.4279}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.71, 'value': 1.33}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
1nP7Wnm,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-group_rank(ts_median(ts_weighted_delay(oth455_competitor_n2v_p50_q200_w2_pca_fact3_cluster_20)/ts_rank(vec_powersum(inst4_incr_reported_mv,constant=2),20),63),subindustry)', 'description': None, 'operatorCount': 7}",2023-05-23T21:17:30-04:00,,2023-05-24T01:17:30-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 716634, 'bookSize': 20000000, 'longCount': 1399, 'shortCount': 1389, 'turnover': 0.0756, 'returns': 0.0262, 'drawdown': 0.0507, 'margin': 0.000693, 'fitness': 0.49, 'sharpe': 1.08, 'checks': [{'name': 'LOW_SHARPE', 'result': 'FAIL', 'limit': 1.58, 'value': 1.08}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.49}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.0756}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.0756}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.47, 'value': 1.89}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
PX8p51W,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': 'rank(ts_mean(normalize(opt6_ivetfratiostd1y),90))-rank(inst_pnl(anl15_bps_s_cal_fy1_ests)/inst_tvr(fnd17_gvary5ep,252))', 'description': None, 'operatorCount': 8}",2023-05-23T21:17:37-04:00,,2023-05-24T01:17:37-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 4446680, 'bookSize': 20000000, 'longCount': 823, 'shortCount': 853, 'turnover': 1.0191, 'returns': 0.0878, 'drawdown': 0.096, 'margin': 0.000172, 'fitness': 0.43, 'sharpe': 1.45, 'checks': [{'name': 'LOW_SHARPE', 'result': 'FAIL', 'limit': 1.58, 'value': 1.45}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.43}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 1.0191}, {'name': 'HIGH_TURNOVER', 'result': 'FAIL', 'limit': 0.7, 'value': 1.0191}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.63, 'value': 1.21}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
qm3A7wO,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-group_rank(arc_tan(mdl165_forddl8nuggetv1_83v),industry)-group_rank(anl15_ebt_s_fy3_ests_up/ts_scale(mdl116_epsyld_ltm_d_deltapredict_model_predict,30),industry)', 'description': None, 'operatorCount': 7}",2023-05-23T21:18:05-04:00,,2023-05-24T01:18:05-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 6193616, 'bookSize': 20000000, 'longCount': 1152, 'shortCount': 1139, 'turnover': 0.9557, 'returns': 0.063, 'drawdown': 0.0354, 'margin': 0.000132, 'fitness': 0.56, 'sharpe': 2.18, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.18}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.56}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.9557}, {'name': 'HIGH_TURNOVER', 'result': 'FAIL', 'limit': 0.7, 'value': 0.9557}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.94, 'value': 1.24}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
M5Zpgxk,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': 'rank(ts_delay(ts_arg_max(anl15_bpsgics_s_fy3_cos_dn,200),60))-group_rank(ts_min_diff(opt4_182_call_strike_delta30,30)/s_log_1p(fn_comp_options_out_number_a),sector)', 'description': None, 'operatorCount': 8}",2023-05-23T21:18:46-04:00,,2023-05-24T01:18:46-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 6398847, 'bookSize': 20000000, 'longCount': 897, 'shortCount': 892, 'turnover': 0.3375, 'returns': 0.0651, 'drawdown': 0.1043, 'margin': 0.000386, 'fitness': 0.58, 'sharpe': 1.33, 'checks': [{'name': 'LOW_SHARPE', 'result': 'FAIL', 'limit': 1.58, 'value': 1.33}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.58}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.3375}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.3375}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.58, 'value': 1.03}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
zJ09AWG,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(mdl165_forddl8nuggetv2_54v/ts_max(mdl165_dl8ibesnuggetschiwumodel2_8v,252))-group_rank(inst_pnl(fnd28_wdeqq_value_03501q),industry)', 'description': None, 'operatorCount': 7}",2023-05-23T21:18:47-04:00,,2023-05-24T01:18:47-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 8065296, 'bookSize': 20000000, 'longCount': 1487, 'shortCount': 1545, 'turnover': 1.0254, 'returns': 0.082, 'drawdown': 0.0466, 'margin': 0.00016, 'fitness': 0.78, 'sharpe': 2.75, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 2.75}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.78}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 1.0254}, {'name': 'HIGH_TURNOVER', 'result': 'FAIL', 'limit': 0.7, 'value': 1.0254}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 1.19, 'value': 1.59}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
PX8pPOK,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-group_rank(ts_arg_min(ts_max_diff(anl15_cpsgics_gr_12_m_ests_up,150)/ts_sum(anl15_salgics_s_cal_fy3_ests,150),100),sector)-rank(inst_pnl(oth455_partner_n2v_p50_q50_w4_pca_fact3_cluster_10)/ts_delay(oth455_partner_n2v_p10_q200_w4_kmeans_cluster_10,180))', 'description': None, 'operatorCount': 11}",2023-05-23T21:18:52-04:00,,2023-05-24T01:18:52-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 7271902, 'bookSize': 20000000, 'longCount': 1119, 'shortCount': 1114, 'turnover': 1.2534, 'returns': 0.0739, 'drawdown': 0.039, 'margin': 0.000118, 'fitness': 0.48, 'sharpe': 1.96, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.96}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.48}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 1.2534}, {'name': 'HIGH_TURNOVER', 'result': 'FAIL', 'limit': 0.7, 'value': 1.2534}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.85, 'value': 1.21}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
7KMwGNZ,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-rank(ts_median(vec_sum(anl16_preliminaryestimate_d1_estvalue),100))+rank(vector_neut(last_diff_value(mdl165_dl8ibesnuggetskachengmodel1_24v,90),ts_returns(fnd17_1_usdtorepexrate,10)))', 'description': None, 'operatorCount': 9}",2023-05-23T21:18:58-04:00,,2023-05-24T01:18:58-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 1744927, 'bookSize': 20000000, 'longCount': 1226, 'shortCount': 1325, 'turnover': 0.2304, 'returns': 0.0757, 'drawdown': 0.0665, 'margin': 0.000657, 'fitness': 0.65, 'sharpe': 1.13, 'checks': [{'name': 'LOW_SHARPE', 'result': 'FAIL', 'limit': 1.58, 'value': 1.13}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.65}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.2304}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.2304}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.49, 'value': 1.29}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
XYepNv5,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-group_rank(ts_ir(ts_arg_max(est_q_prr_high_4wks_ago,100)/fnd28_dvfq1_value_08001q,120),sector)-rank(vector_neut(inst_pnl(anl15_salgics_gr_cal_fy2_total),ts_ir(oth455_competitor_n2v_p50_q200_w5_pca_fact3_value,63)))', 'description': None, 'operatorCount': 10}",2023-05-23T21:19:07-04:00,,2023-05-24T01:19:07-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 7103791, 'bookSize': 20000000, 'longCount': 1193, 'shortCount': 1195, 'turnover': 0.9047, 'returns': 0.0722, 'drawdown': 0.0384, 'margin': 0.00016, 'fitness': 0.53, 'sharpe': 1.86, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.86}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.53}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.9047}, {'name': 'HIGH_TURNOVER', 'result': 'FAIL', 'limit': 0.7, 'value': 0.9047}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.81, 'value': 1.29}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
jdxZoLo,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': 'rank(ts_sum(ts_max_diff(oth455_customer_n2v_p10_q200_w3_kmeans_cluster_10,250)/ts_arg_max(oth455_customer_n2v_p10_q50_w1_pca_fact1_cluster_10,30),100))', 'description': None, 'operatorCount': 5}",2023-05-23T21:19:43-04:00,,2023-05-24T01:19:43-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 19839601, 'bookSize': 20000000, 'longCount': 37, 'shortCount': 32, 'turnover': 0.076, 'returns': 0.2017, 'drawdown': 0.2706, 'margin': 0.005311, 'fitness': 1.44, 'sharpe': 1.13, 'checks': [{'name': 'LOW_SHARPE', 'result': 'FAIL', 'limit': 1.58, 'value': 1.13}, {'name': 'LOW_FITNESS', 'result': 'PASS', 'limit': 1.0, 'value': 1.44}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.076}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.076}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.49, 'value': 0.41}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
O5VpRbd,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-group_rank(ts_regression(mdl25_pcv421_92v,signed_power(mdl25_rdv421_41v,2),40),sector)+group_rank(ts_rank(fnd17_pr2tanbk/mdl165_dl8ibesnuggetskachengmodel1_12v,40),industry)', 'description': None, 'operatorCount': 8}",2023-05-23T21:19:55-04:00,,2023-05-24T01:19:55-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 6481646, 'bookSize': 20000000, 'longCount': 960, 'shortCount': 939, 'turnover': 0.4122, 'returns': 0.0659, 'drawdown': 0.0367, 'margin': 0.00032, 'fitness': 0.63, 'sharpe': 1.57, 'checks': [{'name': 'LOW_SHARPE', 'result': 'FAIL', 'limit': 1.58, 'value': 1.57}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.63}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.4122}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.4122}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.68, 'value': 1.26}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
lR9V59e,REGULAR,TN31932,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 5, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","{'code': '-group_rank(inst_pnl(oth432_trkdpitpredictivetangiblebvps_prediction),industry)+rank(ts_min_max_diff(mdl211_opry_deltaprofitability_profitability3,252))', 'description': None, 'operatorCount': 6}",2023-05-23T21:21:30-04:00,,2023-05-24T01:21:30-04:00,,False,False,,,[],,IS,UNSUBMITTED,"{'pnl': 6121818, 'bookSize': 20000000, 'longCount': 1393, 'shortCount': 1412, 'turnover': 0.3495, 'returns': 0.0622, 'drawdown': 0.0437, 'margin': 0.000356, 'fitness': 0.83, 'sharpe': 1.96, 'checks': [{'name': 'LOW_SHARPE', 'result': 'PASS', 'limit': 1.58, 'value': 1.96}, {'name': 'LOW_FITNESS', 'result': 'FAIL', 'limit': 1.0, 'value': 0.83}, {'name': 'LOW_TURNOVER', 'result': 'PASS', 'limit': 0.01, 'value': 0.3495}, {'name': 'HIGH_TURNOVER', 'result': 'PASS', 'limit': 0.7, 'value': 0.3495}, {'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}, {'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.85, 'value': 1.3}, {'name': 'SELF_CORRELATION', 'result': 'PENDING'}, {'name': 'PROD_CORRELATION', 'result': 'PENDING'}, {'name': 'REGULAR_SUBMISSION', 'result': 'PENDING'}, {'name': 'MATCHES_THEMES', 'result': 'WARNING', 'matched': [], 'unmatched': [{'id': 'qyQGwDE', 'name': 'Data Field Theme 19', 'multiplier': 5.0}]}, {'name': 'IS_LADDER_SHARPE', 'result': 'PENDING'}]}",,,,,
